"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 08:08:09 UTC 2023","Fri Nov 24 08:08:10 UTC 2023","964","pet_tests","FindPetByStatusPositiveTest","api.pet.get.FindPetByStatusPositiveTest","api.pet.get.FindPetByStatusPositiveTest","findPetBySoldStatusPositiveTest","findPetBySoldStatusPositiveTest",""
"passed","Fri Nov 24 08:08:17 UTC 2023","Fri Nov 24 08:08:19 UTC 2023","1651","pet_tests","UpdatePetNameAndStatusPositiveTest","api.pet.update.UpdatePetNameAndStatusPositiveTest","api.pet.update.UpdatePetNameAndStatusPositiveTest","updatePetNameAndStatusPositiveTest","updatePetNameAndStatusPositiveTest",""
"passed","Fri Nov 24 08:08:48 UTC 2023","Fri Nov 24 08:08:49 UTC 2023","818","store_tests","GetOrderByIdNegativeTest","api.store.get.GetOrderByIdNegativeTest","api.store.get.GetOrderByIdNegativeTest","getOrderByIdNegativeTest","getOrderByIdNegativeTest",""
"passed","Fri Nov 24 08:08:08 UTC 2023","Fri Nov 24 08:08:09 UTC 2023","1218","pet_tests","FindPetByStatusPositiveTest","api.pet.get.FindPetByStatusPositiveTest","api.pet.get.FindPetByStatusPositiveTest","findPetBySoldStatusPositiveTest","findPetBySoldStatusPositiveTest",""
"broken","Fri Nov 24 08:07:54 UTC 2023","Fri Nov 24 08:07:54 UTC 2023","7","pet_tests","AddPetNullPhotoTest","api.pet.add.AddPetNullPhotoTest","api.pet.add.AddPetNullPhotoTest","adPetNullPhotoTest","adPetNullPhotoTest",""
"passed","Fri Nov 24 08:08:19 UTC 2023","Fri Nov 24 08:08:21 UTC 2023","2192","pet_tests","UpdatePetNamePositiveTest","api.pet.update.UpdatePetNamePositiveTest","api.pet.update.UpdatePetNamePositiveTest","updatePetNamePositiveTest","updatePetNamePositiveTest",""
"passed","Fri Nov 24 08:09:09 UTC 2023","Fri Nov 24 08:09:09 UTC 2023","879","user_tests","CreateUserWithoutLastNamePositiveTest","api.user.create.CreateUserWithoutLastNamePositiveTest","api.user.create.CreateUserWithoutLastNamePositiveTest","createUserWithoutLastNamePositiveTest","createUserWithoutLastNamePositiveTest",""
"passed","Fri Nov 24 08:08:51 UTC 2023","Fri Nov 24 08:08:52 UTC 2023","803","store_tests","GetStoreInventoryTest","api.store.get.GetStoreInventoryTest","api.store.get.GetStoreInventoryTest","getStoreInventoryTest","getStoreInventoryTest",""
"passed","Fri Nov 24 08:09:10 UTC 2023","Fri Nov 24 08:09:11 UTC 2023","817","user_tests","CreateUserWithoutPhonePositiveTest","api.user.create.CreateUserWithoutPhonePositiveTest","api.user.create.CreateUserWithoutPhonePositiveTest","createUserWithoutPhonePositiveTest","createUserWithoutPhonePositiveTest",""
"passed","Fri Nov 24 08:08:15 UTC 2023","Fri Nov 24 08:08:16 UTC 2023","869","pet_tests","FindPetByStatusPositiveTest","api.pet.get.FindPetByStatusPositiveTest","api.pet.get.FindPetByStatusPositiveTest","findPetBySoldStatusPositiveTest","findPetBySoldStatusPositiveTest",""
"passed","Fri Nov 24 08:09:24 UTC 2023","Fri Nov 24 08:09:27 UTC 2023","2399","user_tests","UpdateRandomUserWithTheSameUsernamePositiveTest","api.user.update.UpdateRandomUserWithTheSameUsernamePositiveTest","api.user.update.UpdateRandomUserWithTheSameUsernamePositiveTest","updateRandomUserWithTheSameUsernamePositiveTest","updateRandomUserWithTheSameUsernamePositiveTest",""
"passed","Fri Nov 24 08:09:01 UTC 2023","Fri Nov 24 08:09:02 UTC 2023","806","user_tests","CreateUserWithoutBodyNegativeTest","api.user.create.CreateUserWithoutBodyNegativeTest","api.user.create.CreateUserWithoutBodyNegativeTest","createUserWithoutBodyNegativeTest","createUserWithoutBodyNegativeTest",""
"passed","Fri Nov 24 08:08:28 UTC 2023","Fri Nov 24 08:08:30 UTC 2023","2621","pet_tests","UpdatePetWithTheSamePetTest","api.pet.update.UpdatePetWithTheSamePetTest","api.pet.update.UpdatePetWithTheSamePetTest","updatePetStatusPositiveTest","updatePetStatusPositiveTest",""
"passed","Fri Nov 24 08:09:22 UTC 2023","Fri Nov 24 08:09:24 UTC 2023","2394","user_tests","UpdateRandomUserPositiveTest","api.user.update.UpdateRandomUserPositiveTest","api.user.update.UpdateRandomUserPositiveTest","updateRandomUserPositiveTest","updateRandomUserPositiveTest",""
"passed","Fri Nov 24 08:11:00 UTC 2023","Fri Nov 24 08:11:03 UTC 2023","2569","Default Suite","untitled","api.pet.add.AddPetTagPositiveTest","api.pet.add.AddPetTagPositiveTest","addPetTagPositiveTest","addPetTagPositiveTest",""
"passed","Fri Nov 24 08:09:00 UTC 2023","Fri Nov 24 08:09:01 UTC 2023","814","user_tests","CreateRandomUserPositiveTest","api.user.create.CreateRandomUserPositiveTest","api.user.create.CreateRandomUserPositiveTest","createRandomUserPositiveTest","createRandomUserPositiveTest",""
"passed","Fri Nov 24 08:08:05 UTC 2023","Fri Nov 24 08:08:07 UTC 2023","1695","pet_tests","DeleteRandomPetPositiveTest","api.pet.delete.DeleteRandomPetPositiveTest","api.pet.delete.DeleteRandomPetPositiveTest","deleteRandomPetPositiveTest","deleteRandomPetPositiveTest",""
